objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,pelicula,produccion,foto,arte,sonido,color,duracion,type,format,language,rights,rightsstatement
coll001,nocheifinalnternacional.jpg,,,universal_internacional,Luis Alberto Restrepo,2003,"Cuenta la historia de una pareja de campesinos que han sido desplazados de su tierra por causa del conflicto armado y han sido lanzados a enfrentar las calles de una ciudad desconocida, enorme y despiadada. Fue filmada en súper 16 mm y posteriormente se amplió a 35 mm para su exhibición comercial.",Centro;Santafe,"Bogotá,Colombia",4.613637563,-74.07141379,Drama,Kr 13 #2645,La primera noche,"Congo Films",Sergio García,Gabriela Monroy,Carlos Eduardo Lopera,Color,94 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll002,madrefinal.jpg,,,lastetasdemimadre_caracas,Carlos Zapata,2015,"Martín sueña con llevar a su mamá a Disney, por eso trabaja a escondidas como repartidor de pizza. Una noche pide prestado el baño de un burdel donde entrega un domicilio, y por error entra en una cabina de striptease donde ve por primera vez una mujer desnuda. Días después vuelve al sitio para repetir la experiencia, esta vez es su madre la que está detrás del vidrio.",Centro;Santafe,"Bogotá,Colombia",4.603758324,-74.07141379,Drama,Av carácas con Av Jiménez,Las tetas de mi madre,Ernesto Lozano Redondo,Lucas Cristo,Nicolás Duque,Andrés Quintero,Color,81 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll003,caracolpajarera.jpg,,,estrategiadelcaracol_pajarera,Sergio Cabrera,1993,"Jacinto, un viejo anarquista español en el exilio propone adoptar una especialísima estrategia. El propietario, saborea un primer momento de triunfo. Los inquilinos recurren a una serie de ingeniosos expedientes, transformándose cada uno en su contrario: el ladrón parece honesto, el travestí es el joven romántico, el ilegal dice creer en la ley. Todos con sus propias posibilidades, luchan por el bien común. El final de la confrontación será la victoria de lo imposible y lo insólito",Centro;Candelaria,"Bogotá,Colombia",4.597216202,-74.07754711,Drama;Comedia,Calle9 #8-34,La estrategia del caracol,"""Caracol Televisión, Crear Cine y Video Fotograma""",Carlos Congote,Enrique Linero,Heriberto García,Color,115 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll004,playadcfinal.jpg,,,Playadc_Centrocomercial,Juan Andres Arango,2012,"La historia de Tomás, un joven afro descendiente que ha huido de la Costa Pacífica colombiana a causa de la guerra, es una fábula que se repite todos los días en el país. Llegar a Bogotá, una metrópolis de ocho millones de habitantes, situada a 2.600 metros sobre el nivel del mar es un punto de quiebre para el personaje, quien debe enfrentarse a una ciudad que poco abre sus puertas. El asfalto, la congestión y la inclemencia de la calle, acompañan el recorrido de Tomás, quien encuentra en el acto de cortar pelo, un arte, un legado histórico de los esclavos que trazaban en los peinados de los niños mapas con rutas de escape. Así, en las cabelleras de los demás, comienza a dibujar el mapa que lo llevará a encontrar a su hermano, y en esta búsqueda, se encontrará a sí mismo.",Centro;Santafe,"Bogotá,Colombia",4.606356025,-74.07470459,Drama,Cl. 18 #10-25,La playa D.C.,Séptima Films,Nicolas Canniccioni,Juna David Bernal,Sonamos Cl,Color,90 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll005,roafinal.jpg,,,roa_septima_callejon,Andres Baiz,2013,"ROA es una historia ficticia basada en hechos reales sobre Juan Roa Sierra, el presunto asesino del caudillo liberal Jorge Eliécer Gaitán, político y abogado colombiano, candidato disidente del partido Liberal a la Presidencia para las elecciones de 1950, con altas probabilidades de ser electo gracias a un ferviente apoyo popular. La historia sucede en Bogotá en los días previos al 9 de abril de 1948. Roa es un hombre ingenuo y supersticioso, un idealista sin oficio estable pero con una familia que alimentar. Cansado de buscar trabajo y convencido que ha nacido para grandes cosas, visita a su ídolo Gaitán para pedirle trabajo. Sus esperanzas se derrumban cuando Gaitán lo trata con desdén. Su ídolo se convierte entonces en su enemigo, y Roa comienza a armar un ingenuo plan para matarlo. Tras casi ser descubierto, invadido por el miedo, Roa abandona sus ideas locas y endereza su camino. Pero cuando todo parece ir mejorando, el destino le juega una mala pasada: unos misteriosos hombres, que lo han visto vigilando a Gaitán, lo amenazan con matar a su familia si no sigue adelante con su plan criminal. La explosión de ira de la población de la capital, en la que buena parte de la ciudad fue arrasada, se conoce como El Bogotazo, pero las repercusiones del asesinato de Gaitán se extendieron a través de todo el país y llevaron a Colombia a un periodo conocido como La Violencia, que duró casi 10 años y cuyos efectos se siguen sintiendo hasta el día de hoy. Si Juan Roa Sierra actuó solo o realmente fue partícipe de un complot, sigue siendo aún un misterio.",Centro;Candelaria,"Bogotá,Colombia",4.60120289,-74.07424378,Drama,carrera 7a con avenida jiménez,Roa,Dynamo,Guillermo Nieto,Diana Trujillo,César Salazar,Color,90 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll006,universalmonserrate.jpg,,,universal_monserrate,Felipe Aljure,1991,Comedia negra que transcurre en la selva urbana de Bogotá¸ en donde cada quien tiene que responder por su propia supervivencia¸ en una cadena de deslealtades que¸ en más de un caso¸ terminarán con la muerte. El ex-sargento de Policía Diógenes Hernández es dueño de -La Universal-¸ una precaria agencia de detectives privados¸ que tiene como sede el mismo apartamento en el que conviven él y su esposa Fabiola¸ quien a su vez sostiene un romance con Clemente Fernández¸ sobrino de Diógenes y también trabajador de la agencia. La historia comienza cuando Gastón Arzuaga¸ un mafioso español preso en Colombia¸ contrata a -La Universal- para que vigile a su amante¸ Margarita¸ una actriz de cine porno.,Centro;Candelaria,"Bogotá,Colombia",4.6005449506, -74.07087420233,Comedia,Av. Jimenez #4-49,La gente de la universal,"""Foto club 76, IMS""",Gonzalo Fernández Berrid,Charlotte Haeger,"""Valentín Kirilov, Heriberto García, Lina Uribe""",Color,126 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll007,universalmuseo.jpg,,,universal_museo_nacional,Felipe Aljure,1991,Comedia negra que transcurre en la selva urbana de Bogotá¸ en donde cada quien tiene que responder por su propia supervivencia¸ en una cadena de deslealtades que¸ en más de un caso¸ terminarán con la muerte. El ex-sargento de Policía Diógenes Hernández es dueño de -La Universal-¸ una precaria agencia de detectives privados¸ que tiene como sede el mismo apartamento en el que conviven él y su esposa Fabiola¸ quien a su vez sostiene un romance con Clemente Fernández¸ sobrino de Diógenes y también trabajador de la agencia. La historia comienza cuando Gastón Arzuaga¸ un mafioso español preso en Colombia¸ contrata a -La Universal- para que vigile a su amante¸ Margarita¸ una actriz de cine porno.,Centro;Candelaria,"Bogotá,Colombia",4.615617362076, -74.06867797289,Comedia,Cra. 7 #N. 28-66,La gente de la universal,"""Foto club 76, IMS""",Gonzalo Fernández Berrid,Charlotte Haeger,"""Valentín Kirilov, Heriberto García, Lina Uribe""",Color,126 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll008,universalsuitestequendama.jpg,,,universal_suites_tequendama,Felipe Aljure,1991,Comedia negra que transcurre en la selva urbana de Bogotá¸ en donde cada quien tiene que responder por su propia supervivencia¸ en una cadena de deslealtades que¸ en más de un caso¸ terminarán con la muerte. El ex-sargento de Policía Diógenes Hernández es dueño de -La Universal-¸ una precaria agencia de detectives privados¸ que tiene como sede el mismo apartamento en el que conviven él y su esposa Fabiola¸ quien a su vez sostiene un romance con Clemente Fernández¸ sobrino de Diógenes y también trabajador de la agencia. La historia comienza cuando Gastón Arzuaga¸ un mafioso español preso en Colombia¸ contrata a -La Universal- para que vigile a su amante¸ Margarita¸ una actriz de cine porno.,Centro;Candelaria,"Bogotá,Colombia",4.6143596554601,-74.0704666258,Comedia,Cra. 10 #27-51,La gente de la universal,"""Foto club 76, IMS""",Gonzalo Fernández Berrid,Charlotte Haeger,"""Valentín Kirilov, Heriberto García, Lina Uribe""",Color,126 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll010,alguienlasnieves.jpg,,,alguien_iglesia_lasnieves,Jorge Navas,1999,"Heriberta, pequeña y hermosa niña, es hija de una madre de ortodoxa religiosidad y de un médico ya muerto, de quien heredó un libro de anatomía y un fino bisturí. Su madre cree que la niña va a ser médico como su padre, pero ella lo que quiere es ser vampiro. Heriberta le teme a crecer, a envejecer, a ser como su madre o a morir como su progenitor. Lee en un libro la historia de una princesa antigua que guardaba su juventud y belleza gracias a la sangre de sus súbditos. Entiende entonces cuál puede ser la cura para su mal. Tiene su libro de anatomía, su bisturí y su infantil placer por el sabor de las gotitas de sangre. Pero la sangre es cochina, dice su madre y Dios todo lo ve y todo lo castiga.",Centro;Candelaria,"Bogotá,Colombia",4.606189949759,-74.07116569731,Thriller;Drama,"Cl. 20, La Candelaria",Alguien mató algo,"""Cinemateca Distrital, Laberinto Producciones, Ojo Tachado""",Juan Carlos Gil,Jaime Luna,César Salazar,Blanco/negro,27 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll011,alguienbartolome.jpg,,,alguien_colegio_sanbartolome,Jorge Navas,1999,"Heriberta, pequeña y hermosa niña, es hija de una madre de ortodoxa religiosidad y de un médico ya muerto, de quien heredó un libro de anatomía y un fino bisturí. Su madre cree que la niña va a ser médico como su padre, pero ella lo que quiere es ser vampiro. Heriberta le teme a crecer, a envejecer, a ser como su madre o a morir como su progenitor. Lee en un libro la historia de una princesa antigua que guardaba su juventud y belleza gracias a la sangre de sus súbditos. Entiende entonces cuál puede ser la cura para su mal. Tiene su libro de anatomía, su bisturí y su infantil placer por el sabor de las gotitas de sangre. Pero la sangre es cochina, dice su madre y Dios todo lo ve y todo lo castiga.",Centro;Candelaria,"Bogotá,Colombia",4.597074553816,-74.07577917621,Thriller;Drama,Cra. 7 #9-96,Alguien mató algo,"""Cinemateca Distrital, Laberinto Producciones, Ojo Tachado""",Juan Carlos Gil,Jaime Luna,César Salazar,Blanco/negro,27 minutos,Image;StillImage,image/jpeg,es,Public domain,none
